frame_nmr,vehicle_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
82,3.0,[1022.5943242228697 1286.9738800204227 1659.746572240967 1814.2616706310832],[1267 1633 1441 1715],0.5532815456390381,GX15OGJ,0.36395061157554937
85,3.0,[1022.0303876451924 1287.3984589468282 1661.2445675922338 1829.1778636848953],[1258 1658 1427 1738],0.48344555497169495,GX15OGJ,0.2524022857495302
86,3.0,[1023.0451337248644 1295.2637729424334 1664.005794266969 1841.374812724165],[1257 1663 1425 1748],0.4912239611148834,GX15OGJ,0.3469139019972279
87,3.0,[1019.3559280290536 1299.214788561959 1660.7493149152951 1849.2725618434386],[1255 1666 1425 1752],0.5556735396385193,GX15OGJ,0.25931353384360206
89,3.0,[1014.6092254948812 1312.718782864451 1661.6307956149126 1867.3761304822565],[1246 1677 1421 1759],0.574467658996582,GX15OGJ,0.1550617725029052
91,3.0,[1004.320412227165 1329.4952481468938 1660.2471824614531 1882.5239754761644],[1240 1691 1424 1773],0.5539621114730835,GX15OGJ,0.4371234812716818
92,3.0,[1000.7981019650786 1339.0309035161522 1659.5437569160129 1889.720358058551],[1243 1705 1417 1783],0.5414320230484009,GX15OGJ,0.43339513465077956
93,3.0,[1002.0098616269443 1342.763484821607 1663.3751745927707 1894.538581126761],[1249 1710 1425 1792],0.5158519744873047,GX15OGJ,0.5565524936544656
94,3.0,[1000.0917996572678 1345.767873087552 1663.3973558371329 1900.2426988213958],[1245 1717 1418 1797],0.5295387506484985,GX15OGJ,0.32896125269967436
95,3.0,[997.0501899159894 1353.9693197438094 1662.5462654216617 1909.3103327187343],[1230 1713 1414 1802],0.561843752861023,GX15OGJ,0.6291830558404377
96,3.0,[993.6022818038368 1362.3389739309566 1660.6903225158412 1918.8472837608367],[1223 1729 1409 1814],0.5806183218955994,GX15OGJ,0.4987238675830545
97,3.0,[990.3891104848874 1367.3503133119177 1660.0278544350683 1926.0925121633657],[1230 1732 1407 1817],0.5827465653419495,GX15OGJ,0.4052855253186695
98,3.0,[986.2289522712949 1374.6501054878386 1658.9006557064777 1938.038395458209],[1226 1741 1405 1827],0.5939816236495972,GX15OCJ,0.21255150651668203
99,3.0,[980.5655136563164 1381.6874988326913 1658.7448553181594 1949.628358979307],[1225 1753 1402 1837],0.5359125733375549,GX15OCJ,0.5974917930809406
100,3.0,[976.8851528320337 1385.5909551276775 1659.0226529239953 1956.2650292447354],[1214 1754 1398 1842],0.5080686211585999,GX15OCJ,0.4694828982771889
101,3.0,[969.7990316693039 1387.8924211795188 1655.1388041724185 1962.7357164466903],[1215 1759 1407 1849],0.5546606779098511,GY15OGJ,0.25583829287840437
102,3.0,[965.2468031757764 1392.6627832755255 1653.693281612235 1969.9963410154821],[1215 1766 1400 1857],0.6104588508605957,GY15OCJ,0.586522189138605
103,3.0,[962.7757225261382 1394.85928750341 1654.027614177917 1974.5479606869067],[1214 1774 1395 1865],0.5856820344924927,GX15OCJ,0.49415099594551803
110,3.0,[936.4422711953655 1428.5491128428166 1644.7211039026413 2031.7529264241907],[1193 1835 1381 1920],0.5616424679756165,GY15OGJ,0.3422185194550981
111,3.0,[932.2437256159229 1438.477863917359 1643.944064015981 2043.0327846490775],[1189 1847 1382 1930],0.553898274898529,GY15OGJ,0.7897942209994855
113,3.0,[924.2415809177053 1452.8339003126903 1639.6376940148568 2060.66306940625],[1184 1855 1380 1945],0.5513501167297363,GX15OCJ,0.7689731441504214
114,2.0,[2054.3996305326327 1123.326380122873 2558.610748920373 1584.944447593051],[2230 1422 2414 1505],0.44183963537216187,AF05JEO,0.3851784826446488
116,3.0,[915.796753036509 1475.3615294450044 1637.5921203703774 2081.76696342954],[1170 1885 1363 1970],0.5411342978477478,GX15OGJ,0.45036307722326785
117,3.0,[909.9838302713872 1483.3937954792589 1635.0429011268304 2091.608105452343],[1171 1898 1358 1980],0.541994571685791,GY15OGJ,0.24332716433109194
118,3.0,[905.1438626177289 1488.329978988196 1634.2497046517349 2099.5218960322804],[1170 1900 1351 1987],0.5446522831916809,GX15OGJ,0.4853464934392162
120,3.0,[896.4294245433599 1504.2850731281878 1629.4339315260213 2126.150038709926],[1160 1913 1357 2010],0.6184137463569641,GY15OCJ,0.09909206152899497
121,3.0,[892.4364151044379 1509.9956520444994 1628.4272076717803 2134.675902360911],[1156 1920 1357 2014],0.5714962482452393,GY15OGJ,0.09966017278561665
122,3.0,[887.4070688007798 1514.9791770498264 1623.893854465873 2141.1229678265813],[1154 1933 1341 2021],0.5761921405792236,GY15OCJ,0.21151916133356324
123,3.0,[884.6788888874364 1521.0137025858542 1621.2090697430951 2145.4610578998772],[1148 1947 1332 2034],0.5554623007774353,GX15OGJ,0.40592101102250633
125,3.0,[873.6234480700682 1529.931817393221 1614.0122710637493 2151.540658455203],[1145 1956 1335 2049],0.60969477891922,GY15OGJ,0.4565734593700849
125,31.0,[2273.026288589104 1580.0737091734163 2935.52834059326 2134.2771400758384],[2511 1949 2718 2046],0.44447872042655945,LM13VCV,0.23693823886083845
126,3.0,[862.1029537481693 1533.6086783378887 1611.8521209226863 2152.2094682549314],[1135 1972 1327 2062],0.5564359426498413,GI50GJI,0.2540104711719078
126,31.0,[2273.9980823405226 1587.1226588536929 2939.1028540541624 2137.410875127846],[2513 1953 2707 2046],0.46442556381225586,LM13VCV,0.4729665469790068
128,3.0,[843.3775762253089 1540.7034700476954 1604.569412853275 2154.3490452970027],[1125 1995 1335 2082],0.5742729902267456,GX15OGJ,0.3469495007639959
128,31.0,[2273.359786267926 1587.0450483473505 2946.1717156291534 2135.469361902863],[2516 1974 2716 2065],0.4993058443069458,LH13VCV,0.354352044311069
129,3.0,[839.7952939702566 1543.3018343977694 1604.1082986565555 2155.5991197558897],[1119 1999 1321 2091],0.6392577886581421,GX15OGJ,0.31305635548804445
130,31.0,[2274.09681577928 1598.2618176683882 2954.3102363311614 2141.6086744129443],[2525 1988 2720 2087],0.6160551905632019,LM13VCV,0.48115914347203803
131,3.0,[829.5306093200589 1555.8853773219898 1592.605897759268 2165.3348899087705],[1118 2022 1306 2112],0.5881800055503845,GX15OGJ,0.3034010708653192
131,38.0,[1114.1631965810366 1096.5226508143814 1601.397737649584 1537.5055144765556],[1278 1363 1432 1432],0.4643419682979584,XH05ZZK,0.2615368603380586
132,31.0,[2274.6397361677436 1615.911254830205 2961.92119597285 2153.1470364817897],[2528 2008 2724 2108],0.6164233088493347,LM13VCV,0.27344524170443657
132,3.0,[833.5345530873428 1575.3511250494362 1600.0081839889085 2172.3115396327094],[1116 2038 1301 2121],0.544845700263977,GX15OGJ,0.4203059076933326
133,31.0,[2276.6345882430523 1623.903850801564 2967.6205094611905 2157.082794751191],[2534 2012 2727 2112],0.5942075252532959,LM13VCV,0.23247225908207172
134,3.0,[836.7107415557416 1610.9920354989927 1605.7932200545506 2177.5682421965685],[1106 2048 1302 2139],0.6685848236083984,GX15OGJ,0.22155747579300986
134,2.0,[2056.532288314896 1193.5219128789565 2593.9357865401694 1675.1920591804267],[2262 1514 2446 1594],0.45315834879875183,AP05JEO,0.449817868577246
135,31.0,[2282.591524928371 1637.5003416680422 2978.591331475522 2163.450077745025],[2524 2037 2734 2135],0.6322869658470154,LN13VCV,0.5540726621203413
135,3.0,[829.7935367502707 1618.0970863950547 1600.3319884536638 2175.465812096062],[1103 2064 1297 2152],0.5973960757255554,GX15OGJ,0.362908603030417
135,2.0,[2063.1201099074847 1196.7123839895094 2602.014101254302 1681.5866486458458],[2249 1516 2436 1599],0.42251789569854736,AP05JEO,0.8864619760698249
136,31.0,[2284.1827576147716 1645.1324908890952 2981.993925002984 2167.0494204350252],[2530 2040 2737 2137],0.6489369869232178,LM13VCV,0.3242258718222546
137,31.0,[2284.854342531564 1651.8065022678693 2983.6978889593483 2168.833125821036],[2533 2055 2744 2148],0.6688051819801331,LM13VCV,0.3522720502253279
137,2.0,[2067.6555999660536 1205.3406180510635 2607.730729908841 1695.3911680764816],[2253 1520 2447 1605],0.47812339663505554,AP05JEO,0.7757293383563263
140,31.0,[2284.344131137731 1678.6831776419517 2984.5268940230235 2171.9745323384145],[2545 2094 2748 2160],0.4264371395111084,LM13VCI,0.44555219657004036
140,38.0,[1091.3669588924674 1118.9290776481175 1585.2093654219204 1577.711775360889],[1256 1385 1415 1473],0.4095660448074341,KH05ZZK,0.9674226915160347
141,38.0,[1086.2959659487333 1120.9191092294302 1581.2956560292873 1580.2734664455977],[1257 1393 1408 1467],0.4487076699733734,KH05ZIK,0.4876303408387379
142,38.0,[1084.329540157884 1120.8226684309109 1579.3385221155959 1580.5732647519355],[1254 1401 1406 1480],0.5499868988990784,KH05Z7K,0.5054482259621514
143,2.0,[2069.169181475479 1230.3447025085839 2614.584899102719 1730.955691651095],[2285 1557 2454 1631],0.4005674421787262,AP05JEO,0.27369046143352027
145,38.0,[1075.2197922367882 1133.294421213105 1572.8769036725944 1593.279681047282],[1247 1413 1402 1495],0.5267465114593506,KH05Z7K,0.3161591909040547
145,2.0,[2068.8818545626923 1241.5976484595324 2615.5396695327395 1741.2998433018972],[2270 1562 2461 1643],0.5125100612640381,AP05JEO,0.14281617602533997
147,2.0,[2075.7092415985576 1249.132931369784 2626.4369112522495 1751.3128545378434],[2280 1573 2474 1652],0.5040082931518555,AP05JEO,0.3272551238970767
147,38.0,[1070.998337587697 1150.8695268389115 1570.7864462009913 1609.7739145595456],[1240 1422 1398 1505],0.4611029624938965,RM05ZZK,0.4023978385654842
148,2.0,[2075.289516880814 1250.9800689437805 2626.5825590942045 1755.6801881625136],[2272 1570 2466 1651],0.48639750480651855,AP05JEO,0.286786335985948
148,38.0,[1069.6972691847245 1154.2945578389283 1570.060308967952 1613.4063856687437],[1238 1422 1398 1504],0.48092591762542725,KK05ZZK,0.32099634903890706
149,2.0,[2075.543895545551 1253.804005403308 2628.081712534018 1761.4447752666965],[2279 1583 2476 1657],0.4317144453525543,AP05JEO,0.5399929325718051
152,2.0,[2078.3390442787204 1263.5824930763565 2632.886899113889 1781.477566396606],[2288 1602 2461 1680],0.5218786597251892,AP05JEO,0.5998056165847754
153,38.0,[1059.6598233526497 1171.3339596932756 1568.1170931619768 1631.234632037268],[1232 1450 1387 1523],0.4772428870201111,KH05ZZK,0.25844997580183043
153,2.0,[2081.7952308889576 1265.0736397308744 2638.708603863129 1788.352202293668],[2287 1610 2483 1692],0.4437260925769806,AP05JEO,0.3309770368659521
154,2.0,[2083.5254847181086 1266.3951905717224 2642.362889449115 1792.5206007412487],[2285 1609 2477 1693],0.5625396370887756,AP05JEO,0.3116002969116296
155,38.0,[1062.0838510622789 1180.7410408638161 1566.694653194902 1642.911204136522],[1225 1462 1386 1541],0.5179179906845093,KH05ZZK,0.15068440336620015
156,2.0,[2083.9102944935385 1275.400583415906 2647.146750332524 1810.241113447264],[2282 1617 2485 1701],0.5024219751358032,AP05JEO,0.33582611745833124
156,38.0,[1059.5325886632775 1180.8860534417163 1564.5039009166296 1645.8734424886898],[1219 1463 1386 1544],0.4870307445526123,KH05ZZK,0.15812586333177914
157,38.0,[1056.2113307219743 1182.2880050909341 1562.8536278068273 1651.2640016968242],[1222 1467 1384 1548],0.49613049626350403,KH05ZZK,0.2770797565179281
157,2.0,[2083.7320968883796 1278.2297386245518 2649.0970551715873 1815.5304369200107],[2286 1618 2499 1702],0.48538893461227417,AP05JEO,0.4124979362267623
158,2.0,[2083.8237237300377 1283.839477851312 2651.530474630829 1821.8348824585946],[2280 1626 2478 1708],0.4206168055534363,AP05JEO,0.3313359140366645
159,38.0,[1050.8896735514 1188.3537483638468 1559.5974565382862 1663.6900790061934],[1213 1475 1384 1558],0.5175308585166931,KH05ZZK,0.4922244488485484
162,2.0,[2084.2356473875493 1303.751005667277 2660.113675177737 1848.1637960522291],[2293 1658 2495 1742],0.5266808867454529,AP05JEO,0.29806435403693854
162,38.0,[1044.8448295352568 1195.394317929192 1558.6631734393645 1678.5499921307994],[1212 1482 1375 1564],0.49792322516441345,KH05ZTK,0.5304204050086233
163,38.0,[1041.9054997467056 1196.8507002393756 1558.2300705385733 1681.8334577900475],[1211 1488 1371 1566],0.5206339955329895,KH05ZTK,0.662647441707157
170,2.0,[2092.301305434655 1341.1347704658122 2688.8148974576275 1900.9652847776745],[2300 1707 2492 1786],0.4183806777000427,AP05JEO,0.17873167546736554
171,2.0,[2094.1023444780353 1345.8549894434022 2692.1588060958943 1906.548146640564],[2287 1707 2516 1795],0.535195529460907,AP35HEJ,0.09772248337311165
173,2.0,[2092.855046162332 1355.1088142939348 2695.311445587398 1918.6814128999845],[2307 1715 2513 1805],0.6017935276031494,AP05JEO,0.08629838231806537
173,38.0,[1010.495972987014 1244.5963776656124 1555.8844005327226 1736.0827180884974],[1194 1539 1360 1620],0.5479016900062561,KN0527K,0.159389629814671
176,2.0,[2095.5219637714517 1370.1258431032945 2702.9824211854966 1945.4167224264863],[2306 1743 2518 1827],0.47022536396980286,AP05JEO,0.22884666502542567
177,38.0,[1000.0018510017894 1262.8108549550063 1553.8840505100638 1764.005758072453],[1187 1562 1357 1646],0.5043565034866333,KH05ZIK,0.6729379318517063
178,2.0,[2099.1504918831947 1380.2628079288752 2708.6705964367397 1961.601018114629],[2306 1754 2520 1841],0.5849639177322388,AP05JEO,0.2853876102427722
179,2.0,[2100.711318643301 1385.785827188432 2710.43322789055 1968.1451525812572],[2314 1758 2536 1847],0.5504106283187866,AP05JEO,0.29872955610483665
179,38.0,[994.3973883428623 1272.5426739798506 1553.156089967614 1774.6670437513942],[1178 1570 1351 1652],0.5125217437744141,KM05ZZK,0.45879500128395323
180,38.0,[990.9576912114698 1278.4404641380358 1551.1823242308828 1779.9362283622447],[1179 1574 1351 1656],0.5051173567771912,RH05ZZN,0.35740822031192804
181,38.0,[989.0682020826002 1280.9235358803783 1549.8200998779766 1783.3240183148193],[1176 1576 1353 1663],0.6005695462226868,KH05ZZK,0.5578413108572734
182,38.0,[988.8702513303699 1289.8546734918496 1548.8962051693995 1792.6221931407413],[1176 1592 1348 1675],0.5702710747718811,RH05ZZK,0.21201231547748098
183,38.0,[989.9936152213445 1290.6233552812148 1550.0681000929771 1795.8340881279053],[1171 1601 1346 1680],0.5345057249069214,KH05ZZK,0.6722876643939474
183,2.0,[2102.3103150007046 1408.5840816289553 2722.88722752377 2002.4287890757234],[2339 1794 2543 1879],0.5262534022331238,AP05JEO,0.1798268204032643
184,2.0,[2103.371353998294 1411.598214579878 2727.512799393299 2009.690627127473],[2325 1798 2521 1877],0.5178245902061462,AP05JEO,0.1630434082618923
185,2.0,[2098.7512902886883 1420.0741286165676 2725.6833150819775 2017.1113338897358],[2327 1801 2547 1893],0.5897840261459351,AP05JEO,0.21684597946358533
185,38.0,[988.4306655360255 1295.1385344014577 1552.064935814777 1809.2210560874034],[1166 1609 1343 1696],0.5374277830123901,RH05Z7K,0.5811490208991338
186,2.0,[2096.929768676534 1426.2630614536502 2727.558437438386 2025.034492776852],[2324 1805 2548 1894],0.5037654638290405,AP05JEO,0.8518820263186283
187,2.0,[2102.236479395805 1429.2607193385577 2733.93621132288 2030.8933127470239],[2330 1812 2545 1898],0.5909071564674377,AP05JEO,0.29378950862753284
187,38.0,[982.3556915368251 1297.8271504585819 1548.287566381967 1821.0327581953961],[1159 1612 1343 1703],0.5734888911247253,KH05Z7K,0.6886078342093647
189,38.0,[970.5938928293776 1303.1877661142548 1545.582497074185 1833.5314459587407],[1158 1625 1337 1712],0.62617027759552,KH05Z7K,0.5399967718747666
189,2.0,[2103.7234223142887 1444.6679103645256 2745.2586891287756 2053.9027476897654],[2338 1837 2551 1922],0.5705430507659912,AP05JEO,0.5160961792150514
190,2.0,[2105.873916548403 1447.3210944334287 2751.0227845902355 2060.195418040101],[2342 1841 2555 1924],0.5364788174629211,AP05JEO,0.5524407290684878
190,38.0,[967.6830903614998 1310.2397751188203 1545.2306547926976 1841.6221635599388],[1155 1632 1339 1722],0.5328879952430725,KH05ZZK,0.6810974723616594
191,2.0,[2108.4304805441525 1452.9821404815095 2755.9075088160516 2067.9381632399604],[2339 1848 2568 1939],0.5786805152893066,AP05JEO,0.48092123615127225
192,2.0,[2108.5773120010235 1459.0187576463143 2759.093871671328 2074.3933913691135],[2331 1851 2576 1944],0.6210275888442993,AP05JEO,0.604159019992963
192,38.0,[959.5099790962629 1331.0233898266279 1542.7979051713007 1857.7843369653033],[1148 1652 1314 1733],0.5142458081245422,KH05ZZK,0.549656315135747
193,2.0,[2109.255946295242 1463.2599436279002 2762.7972757076486 2078.3807579694894],[2341 1855 2568 1947],0.5979205965995789,AP05JEO,0.6783670638782898
193,38.0,[956.3680221342771 1338.4602160989452 1541.8332607032025 1864.1786013626197],[1144 1653 1323 1740],0.5740088820457458,KH05Z7K,0.46012701586357807
195,2.0,[2111.4329147072544 1477.3981828404721 2770.813576253818 2097.724626633768],[2340 1883 2556 1969],0.5937149524688721,AP05JEO,0.41152814775239943
196,38.0,[946.9294407601476 1354.1808921169857 1530.8972204575223 1876.2776077413557],[1132 1665 1320 1754],0.5788581371307373,KH05ZZK,0.2652559721959695
197,38.0,[944.0938197186982 1357.1544026755028 1530.3206901005315 1881.3794884653512],[1127 1673 1317 1759],0.5885063409805298,KH05ZIK,0.3901024978124695
198,2.0,[2115.9763866330477 1491.0047751155093 2782.196838145106 2116.531202431602],[2347 1898 2591 1991],0.6210241317749023,AP05JEO,0.5779463519366868
198,38.0,[935.1087996657809 1363.0951624913655 1520.5257708682727 1889.9042828504676],[1134 1692 1312 1773],0.573667049407959,RH05ZZK,0.3462718875111739
199,2.0,[2122.9630664983333 1498.5356443980097 2788.4856496367884 2124.845467381451],[2348 1902 2586 1996],0.6293341517448425,AP05JEO,0.2467389845351764
200,38.0,[929.2075983107364 1375.4691233173887 1511.038192582591 1904.0317523207175],[1124 1703 1306 1787],0.5478057861328125,KA05ZIK,0.2900570268738502
201,38.0,[927.0809534913733 1382.7185926303969 1508.9486093880705 1910.2252728884764],[1118 1706 1305 1794],0.533929705619812,KA05ZZK,0.28373917807002424
202,38.0,[925.5454940984425 1389.1080174534022 1509.0781000900472 1916.398817079556],[1113 1712 1299 1799],0.5209787487983704,KN05ZZK,0.0930030334975771
203,2.0,[2128.4448347648568 1523.7613934303079 2797.533558601249 2158.365122389757],[2376 1943 2600 2035],0.6116832494735718,AP05JEO,0.6399309356611819
203,38.0,[923.7168954935884 1393.7478183446976 1507.946883337585 1923.330457107222],[1110 1713 1298 1802],0.5921668410301208,KH05ZZK,0.5550866638261172
204,38.0,[920.6962123794488 1401.6119044321715 1508.7132018571065 1933.1898153815866],[1109 1717 1296 1805],0.5987434387207031,KH05ZZK,0.5982075187076348
205,38.0,[918.5980767242108 1403.413978657154 1508.8167661969146 1936.4206738470261],[1101 1728 1294 1818],0.595973551273346,KK05ZZK,0.3142739818887187
206,38.0,[915.9858645339264 1408.9087731212626 1507.5653166252455 1944.8530647712773],[1099 1735 1288 1823],0.5639731884002686,KH05Z7K,0.7126123105816737
207,2.0,[2140.9133595511844 1550.6015821097267 2809.5896629051435 2162.9421271773176],[2377 1980 2606 2067],0.56074458360672,AP05JEO,0.24110055477030579
207,38.0,[911.2047706251053 1414.5784889514332 1507.1142124282385 1955.1899445039023],[1096 1747 1281 1833],0.5496189594268799,KH05Z7K,0.5120091988137873
208,2.0,[2142.233360559935 1555.9494623231935 2813.0473320274423 2160.620272487698],[2381 1982 2612 2075],0.5913147330284119,AP05JEQ,0.1363906906028562
208,38.0,[905.7517225652102 1417.2108913102843 1506.161940802752 1961.5085635251494],[1094 1747 1278 1836],0.5805891156196594,KH05ZZK,0.30424777281767734
209,2.0,[2145.2765290939906 1559.3689692412543 2816.2164244830856 2157.9816740223932],[2378 1992 2615 2083],0.600878894329071,AP05JEQ,0.2626765382151965
209,38.0,[900.0811757266086 1421.1231152379125 1502.373133168766 1967.784002000344],[1082 1756 1275 1844],0.544754147529602,KH05Z7K,0.19778597900837686
210,2.0,[2147.38190970304 1564.6459899875222 2820.8675483485185 2156.578298625744],[2380 1995 2614 2089],0.6298231482505798,AP05JEO,0.29988275772924333
210,38.0,[892.9355173701592 1426.011139934374 1496.296952905434 1973.5606387483429],[1079 1759 1276 1849],0.6076253652572632,KH05Z7K,0.15849104867163932
211,2.0,[2149.1139838232552 1569.316133376756 2827.4011390154033 2156.98031825429],[2379 1998 2617 2092],0.6500704288482666,AP05JEO,0.5140763510632651
213,38.0,[876.9460030945268 1445.9817733174714 1483.8638577536651 1995.7824637508656],[1073 1787 1264 1878],0.6043516993522644,KH05Z7K,0.7643070536727953
214,2.0,[2156.739903470394 1589.3739262001254 2848.061703406157 2163.834226679948],[2402 2037 2642 2130],0.6256403923034668,AP05JEO,0.5318127498729511
215,2.0,[2162.249083957577 1604.579548614133 2850.8669756944823 2169.8822381610316],[2396 2041 2652 2133],0.6190239191055298,AP05JEO,0.3263121102700786
216,2.0,[2165.1809668363962 1608.8131450429908 2854.137362251649 2168.8385138722783],[2397 2047 2651 2139],0.639114260673523,AP05JEO,0.19005500359300903
216,38.0,[858.438318799806 1466.653087126028 1470.9031250448656 2019.4269430941886],[1059 1804 1255 1896],0.5971807241439819,KH05ZZK,0.39416194932316123
